dataset_name,method_name,Purity,ARI,RI,NMI,Runtime,Fit_size,number_of_classes_in_fit,number_of_classes_in_total,parameters_names,parameters_value
UCR_CBF,Kmeans,0.6224611708482676,0.3066816894548608,0.6799117376366952,0.3320314071149156,0.0715858936309814,93,3,3,[k|distance_measure|transformation],[3|euclidean|default]
UCR_CBF,Kmedoids,0.6511350059737157,0.3576809442645954,0.6966667238314097,0.4378609795253427,0.0352199077606201,93,3,3,[k|distance_measure|transformation],[3|euclidean|default]
UCR_CBF,Kmedoids,0.6571087216248507,0.3826140511178206,0.7028347996089932,0.488943243113091,1.1345462799072266,93,3,3,[k|distance_measure|transformation],[3|SBD|default]
UCR_CBF,KShapes,0.7383512544802867,0.4882738096320531,0.7724443072490611,0.5235016129440399,0.801506519317627,93,3,3,[k|distance_measure|transformation],[3|SBD|default]
UCR_CBF,StreamLS,0.5579450418160096,0.2034711581405999,0.5903088611068238,0.2279927803417346,0.3456079959869385,93,3,3,[k|distance_measure|transformation|slide],[3|euclidean|default|93]
UCR_CBF,Kmeans,0.5639187574671446,0.1653807484922265,0.6135005973715651,0.2257601990761148,0.6840310096740723,93,3,3,[k|distance_measure|transformation],[3|euclidean|catch22]
UCR_CBF,Kmedoids,0.5029868578255675,0.114925272058965,0.6066665523371805,0.1028585010009485,0.6218600273132324,93,3,3,[k|distance_measure|transformation],[3|euclidean|catch22]
UCR_CBF,StreamLS,0.5029868578255675,0.1230947674247805,0.5708299749046778,0.1153996601234504,0.6366219520568848,93,3,3,[k|distance_measure|transformation|slide],[3|euclidean|catch22|93]
UCR_FaceAll,Kmeans,0.211358024691358,0.076906099702596,0.7661054994388328,0.1782684990775145,0.1050648689270019,225,6,14,[k|distance_measure|transformation],[6|euclidean|default]
UCR_FaceAll,Kmedoids,0.2054320987654321,0.067319017124095,0.755029522275899,0.1563819995414849,0.1496682167053222,225,6,14,[k|distance_measure|transformation],[6|euclidean|default]
UCR_FaceAll,Kmedoids,0.2661728395061728,0.1188028940374189,0.6930610452349583,0.3054140443386924,6.182007551193237,225,6,14,[k|distance_measure|transformation],[6|SBD|default]
UCR_FaceAll,KShapes,0.3091358024691358,0.1485087992475122,0.7371029131898698,0.3620461038656634,3.798421621322632,225,6,14,[k|distance_measure|transformation],[6|SBD|default]
UCR_FaceAll,StreamLS,0.1718518518518518,0.1244019595573978,0.7546308495583858,0.2312678265883013,1.3186211585998535,225,6,14,[k|distance_measure|transformation|slide],[6|euclidean|default|225]
UCR_FaceAll,Kmeans,0.1925925925925926,0.1327648823467326,0.767876835992778,0.2608546466023831,1.8544235229492188,225,6,14,[k|distance_measure|transformation],[6|euclidean|catch22]
UCR_FaceAll,Kmedoids,0.1837037037037037,0.1428401554038264,0.7960371834284877,0.2504439478147554,1.9896769523620603,225,6,14,[k|distance_measure|transformation],[6|euclidean|catch22]
UCR_FaceAll,StreamLS,0.1091358024691358,0.0395014456656399,0.5105787342019226,0.1239057479269141,2.106292486190796,225,6,14,[k|distance_measure|transformation|slide],[6|euclidean|catch22|225]
UCR_FaceAll,Kmeans,0.328395061728395,0.0933039082287812,0.8422788269165081,0.2519091921580112,0.0701522827148437,225,6,14,[k|distance_measure|transformation],[14|euclidean|default]
UCR_FaceAll,Kmedoids,0.2725925925925926,0.0761632211120004,0.8238266725223247,0.209592456097165,0.2305071353912353,225,6,14,[k|distance_measure|transformation],[14|euclidean|default]
UCR_FaceAll,Kmedoids,0.3881481481481481,0.1566248687353289,0.8069004050163471,0.3770166892511867,8.862423181533813,225,6,14,[k|distance_measure|transformation],[14|SBD|default]
UCR_FaceAll,KShapes,0.4004938271604938,0.1523916766288669,0.8165705362806812,0.4006735337041622,7.934949159622192,225,6,14,[k|distance_measure|transformation],[14|SBD|default]
UCR_FaceAll,StreamLS,0.2834567901234568,0.0841279865080332,0.7710208363831552,0.2120498167511732,2.9509801864624023,225,6,14,[k|distance_measure|transformation|slide],[14|euclidean|default|225]
UCR_FaceAll,Kmeans,0.328395061728395,0.1324302067709958,0.8558010052212951,0.2715956684756533,1.8560969829559328,225,6,14,[k|distance_measure|transformation],[14|euclidean|catch22]
UCR_FaceAll,Kmedoids,0.3382716049382716,0.1362118421717633,0.8592465720001952,0.2865872539547953,2.04744553565979,225,6,14,[k|distance_measure|transformation],[14|euclidean|catch22]
UCR_FaceAll,StreamLS,0.194074074074074,0.0703471540302928,0.5843771043771043,0.1984066370022933,2.4059927463531494,225,6,14,[k|distance_measure|transformation|slide],[14|euclidean|catch22|225]
UCR_TwoPatterns,Kmeans,0.3217777777777778,0.018182526172586,0.6311962658368526,0.0200119134082026,0.0402348041534423,500,4,4,[k|distance_measure|transformation],[4|euclidean|default]
UCR_TwoPatterns,Kmedoids,0.3213333333333333,0.0221628656261785,0.6264100170408239,0.02226395031674,0.5682077407836914,500,4,4,[k|distance_measure|transformation],[4|euclidean|default]
UCR_TwoPatterns,Kmedoids,0.4215555555555555,0.1114264207626358,0.6569906398952854,0.1424354063632094,22.34406876564026,500,4,4,[k|distance_measure|transformation],[4|SBD|default]
UCR_TwoPatterns,KShapes,0.5024444444444445,0.1843410048625429,0.6740970586056161,0.2883773916436856,5.239361524581909,500,4,4,[k|distance_measure|transformation],[4|SBD|default]
UCR_TwoPatterns,StreamLS,0.282,0.0018516525323487,0.6252212096515275,0.0027548750013321,1.9644851684570312,500,4,4,[k|distance_measure|transformation|slide],[4|euclidean|default|500]
