dataset_name,method_name,ARI,Purity,RI,NMI,Runtime
UCR_CBF,BURST_GEN_KMeans_2S,0.25553248850364874,0.6284348864994026,0.6675241378127627,0.3183788448522461,0.7971055507659912
UCR_FaceAll,BURST_GEN_KMeans_2S,0.027015452343623507,0.08345679012345679,0.5864636705216415,0.08461306358425771,0.3702859878540039
UCR_TwoPatterns,BURST_GEN_KMeans_2S,0.022315798096969576,0.3348888888888889,0.6237816798794794,0.023075610256175688,0.4780738353729248
generate_synthetic_data,BURST_GEN_KMeans_2S,0.6069188075156712,0.5619047619047619,0.8160648043000984,0.7703547450876173,0.09597301483154297
generate_2_3_2new,BURST_GEN_KMeans_2S,0.7687078590955093,0.8634920634920635,0.9204885557826734,0.801254450186167,0.07078289985656738
UCR_ShakeGestureWiimoteZ,BURST_GEN_KMeans_2S,0.002535743637745472,0.1111111111111111,0.4771535580524345,0.09997723811040474,0.02686905860900879
UCR_ACSF1,BURST_GEN_KMeans_2S,0.023735166495215853,0.18888888888888888,0.4208566108007449,0.16189763813825844,0.08252501487731934
UCR_PickupGestureWiimoteZ,BURST_GEN_KMeans_2S,0.07768409512125088,0.14444444444444443,0.6034956304619226,0.24398381593445784,0.027159929275512695
UCR_GestureMidAirD3,BURST_GEN_KMeans_2S,0.04862634615111239,0.07540983606557378,0.6252157031924073,0.23893199239100577,0.06784915924072266
UCR_AllGestureWiimoteY,BURST_GEN_KMeans_2S,0.03533901844831419,0.10222222222222223,0.5149005067358794,0.07083431715946724,0.17815327644348145
UCR_GestureMidAirD1,BURST_GEN_KMeans_2S,0.048863230966825565,0.10491803278688525,0.6283865401207938,0.3285561497081322,0.07174515724182129
UCR_GestureMidAirD2,BURST_GEN_KMeans_2S,0.056434407273925895,0.07868852459016394,0.6561044003451251,0.2775318729304177,0.06916165351867676
UCR_AllGestureWiimoteX,BURST_GEN_KMeans_2S,0.03791815183512108,0.11,0.501905821282907,0.07467328580741722,0.16042661666870117
UCR_AllGestureWiimoteZ,BURST_GEN_KMeans_2S,0.0,0.07777777777777778,0.10122358175750834,0.0,0.1885221004486084
UCR_DodgerLoopDay,BURST_GEN_KMeans_2S,0.15528766691783302,0.2937062937062937,0.50635280212745,0.40004764232642426,0.05489993095397949
UCR_Worms,BURST_GEN_KMeans_2S,0.037048160908554485,0.3605150214592275,0.4524567115583839,0.043309970257075364,0.06944608688354492
UCR_EOGVerticalSignal,BURST_GEN_KMeans_2S,0.03421881571318669,0.11809815950920245,0.43224204385890513,0.10931460093493468,0.17646479606628418
UCR_SemgHandMovementCh2,BURST_GEN_KMeans_2S,0.0,0.09259259259259259,0.17250377695371516,0.0,0.21552562713623047
UCR_EOGHorizontalSignal,BURST_GEN_KMeans_2S,0.09433779135587742,0.15337423312883436,0.5841838417536023,0.26755513132257236,0.29244065284729004
UCR_SyntheticControl,BURST_GEN_KMeans_2S,0.2222147899093387,0.19074074074074074,0.5797911083625369,0.4220055484646919,0.08261775970458984
UCR_Beef,BURST_GEN_KMeans_2S,0.0832072617246596,0.4444444444444444,0.7176799440950384,0.26773521128662053,0.01878046989440918
UCR_Adiac,BURST_GEN_KMeans_2S,0.011097387488870668,0.02844950213371266,0.2500962500962501,0.19290219630939967,0.12351226806640625
UCR_RefrigerationDevices,BURST_GEN_KMeans_2S,0.0001958143413024896,0.37037037037037035,0.3435410484668645,0.00010845505190233912,0.28948473930358887
UCR_LargeKitchenAppliances,BURST_GEN_KMeans_2S,-0.00025963120500034864,0.37037037037037035,0.3413605890757226,0.0026865050998081527,0.26433658599853516
UCR_Meat,BURST_GEN_KMeans_2S,0.2475071487217236,0.8240740740740741,0.7133956386292835,0.4471124364409676,0.046022891998291016
UCR_ScreenType,BURST_GEN_KMeans_2S,0.0,0.25925925925925924,0.3405868776788658,0.0,0.2935061454772949
UCR_OliveOil,BURST_GEN_KMeans_2S,0.1455178420427418,0.7037037037037037,0.6708595387840671,0.35941259777715384,0.021487712860107422
UCR_MixedShapesRegularTrain,BURST_GEN_KMeans_2S,0.19578202373089906,0.43828332700341815,0.6113500381526499,0.23662620671716894,0.5556211471557617
UCR_SmallKitchenAppliances,BURST_GEN_KMeans_2S,-0.00025963120500034864,0.25925925925925924,0.3413605890757226,0.0026865050998081527,0.26711606979370117
UCR_DistalPhalanxTW,BURST_GEN_KMeans_2S,0.6306503353842916,0.7119341563786008,0.8416019685206397,0.5440305030889011,0.11238598823547363
UCR_MiddlePhalanxTW,BURST_GEN_KMeans_2S,0.38619947277240474,0.4979919678714859,0.7553433048087723,0.32870544428206605,0.06413984298706055
UCR_SmoothSubspace,BURST_GEN_KMeans_2S,0.13014817178188703,0.4111111111111111,0.5288999036210932,0.17131011924677897,0.054141998291015625
UCR_Phoneme,BURST_GEN_KMeans_2S,-0.0017985320484439314,0.025803054239073198,0.23899606636735768,0.013778584386305304,0.2821168899536133
UCR_Rock,BURST_GEN_KMeans_2S,0.08566966326375133,0.4444444444444444,0.6098310291858678,0.19622259515761223,0.02947545051574707
UCR_Coffee,BURST_GEN_KMeans_2S,0.27639943197448347,0.8823529411764706,0.6407843137254902,0.44058316708763795,0.018137216567993164
UCR_Computers,BURST_GEN_KMeans_2S,0.0,0.4444444444444444,0.5050730017322445,0.0,0.24073529243469238
UCR_Plane,BURST_GEN_KMeans_2S,0.14563223132094322,0.47619047619047616,0.5997973657548126,0.49622863535489437,0.08974623680114746
UCR_GunPointMaleVersusFemale,BURST_GEN_KMeans_2S,0.10374589652379153,0.7832512315270936,0.5517363011615886,0.22584136456280182,0.0698089599609375
