dataset_name,method_name,ARI,Purity,RI,NMI,Runtime
UCR_CBF,BURST_GEN_KMeans_SNK,0.2310449772745205,0.4336917562724014,0.6086844677676596,0.2761571648187533,0.7494432926177979
UCR_FaceAll,BURST_GEN_KMeans_SNK,0.03140154165441709,0.08345679012345679,0.5130542136339238,0.07399395325486574,0.22005248069763184
UCR_TwoPatterns,BURST_GEN_KMeans_SNK,0.018358302818540194,0.2628888888888889,0.5090413178237139,0.018118891608675535,0.2771022319793701
generate_synthetic_data,BURST_GEN_KMeans_SNK,0.6069188075156712,0.7,0.8160648043000984,0.7703547450876173,0.04750943183898926
generate_2_3_2new,BURST_GEN_KMeans_SNK,0.7687078590955093,0.8634920634920635,0.9204885557826734,0.801254450186167,0.017807483673095703
UCR_ShakeGestureWiimoteZ,BURST_GEN_KMeans_SNK,0.04857391795325444,0.18888888888888888,0.4883895131086142,0.2566433980103357,0.013780832290649414
UCR_ACSF1,BURST_GEN_KMeans_SNK,0.018919357743327227,0.15,0.3685909373060211,0.14132014801451692,0.022099733352661133
UCR_PickupGestureWiimoteZ,BURST_GEN_KMeans_SNK,0.11296401371930641,0.28888888888888886,0.7275905118601748,0.3802175706107388,0.01421666145324707
UCR_GestureMidAirD3,BURST_GEN_KMeans_SNK,0.03617149302644088,0.07540983606557378,0.5143011216566005,0.17965839230528735,0.019086599349975586
UCR_AllGestureWiimoteY,BURST_GEN_KMeans_SNK,0.03684478288861213,0.1111111111111111,0.5185761957730812,0.07191846165294007,0.1061410903930664
UCR_GestureMidAirD1,BURST_GEN_KMeans_SNK,0.029803189918026888,0.07540983606557378,0.4251725625539258,0.1933421211109017,0.03552412986755371
UCR_GestureMidAirD2,BURST_GEN_KMeans_SNK,0.04061289296790792,0.04262295081967213,0.5177308024158758,0.2014673573590336,0.01809978485107422
UCR_AllGestureWiimoteX,BURST_GEN_KMeans_SNK,0.021267575352713664,0.0811111111111111,0.5093313558274626,0.04085392786552835,0.15311217308044434
UCR_AllGestureWiimoteZ,BURST_GEN_KMeans_SNK,0.006575381918113666,0.08555555555555555,0.47737486095661846,0.017537406877101442,0.21050143241882324
UCR_DodgerLoopDay,BURST_GEN_KMeans_SNK,0.16847495153806083,0.22377622377622378,0.6616763518171969,0.3378544611420879,0.03949618339538574
UCR_Worms,BURST_GEN_KMeans_SNK,0.0231162925689854,0.3605150214592275,0.4779117951753737,0.03268825142250117,0.02183222770690918
UCR_EOGVerticalSignal,BURST_GEN_KMeans_SNK,0.08015308532853559,0.12883435582822086,0.6907447720825912,0.18452783204000384,0.08226990699768066
UCR_SemgHandMovementCh2,BURST_GEN_KMeans_SNK,0.07497278987419742,0.28641975308641976,0.5513009507241069,0.11789099890867082,0.11110162734985352
UCR_EOGHorizontalSignal,BURST_GEN_KMeans_SNK,0.09052193870843497,0.147239263803681,0.5753583444064346,0.24510852726273072,0.08653783798217773
UCR_SyntheticControl,BURST_GEN_KMeans_SNK,0.2901657981991199,0.17222222222222222,0.6401360544217687,0.45287316053054333,0.05359768867492676
UCR_Beef,BURST_GEN_KMeans_SNK,0.12342329340453168,0.5370370370370371,0.7330538085255066,0.3368646456406756,0.01398015022277832
UCR_Adiac,BURST_GEN_KMeans_SNK,0.010685849864348104,0.02702702702702703,0.24459277090856038,0.17912387291611118,0.17292380332946777
UCR_RefrigerationDevices,BURST_GEN_KMeans_SNK,0.007705180214918816,0.37037037037037035,0.40752170568194307,0.008325275363200348,0.18138742446899414
UCR_LargeKitchenAppliances,BURST_GEN_KMeans_SNK,0.009718556541711993,0.37925925925925924,0.4012704692823387,0.00785908982462621,0.17154669761657715
UCR_Meat,BURST_GEN_KMeans_SNK,0.2475071487217236,0.8240740740740741,0.7133956386292835,0.44711243644096754,0.04327225685119629
UCR_ScreenType,BURST_GEN_KMeans_SNK,0.016044567876052712,0.37037037037037035,0.5040070337399715,0.022667119221890457,0.07562041282653809
UCR_OliveOil,BURST_GEN_KMeans_SNK,0.12731221468707088,0.7407407407407407,0.6862334032145353,0.3572417065200973,0.04622697830200195
UCR_MixedShapesRegularTrain,BURST_GEN_KMeans_SNK,0.20027766562466973,0.4538549183440942,0.5904947954244526,0.26832977451442724,0.28598928451538086
UCR_SmallKitchenAppliances,BURST_GEN_KMeans_SNK,0.0020620471581565764,0.37037037037037035,0.3749642817892076,0.000989037664515242,0.10061311721801758
UCR_DistalPhalanxTW,BURST_GEN_KMeans_SNK,0.5098798414809765,0.12139917695473251,0.7545458402273981,0.5432212815627168,0.057741403579711914
UCR_MiddlePhalanxTW,BURST_GEN_KMeans_SNK,0.3541777406798713,0.25903614457831325,0.6638546136255282,0.5150587985178275,0.01775336265563965
UCR_SmoothSubspace,BURST_GEN_KMeans_SNK,0.087417340223224,0.43703703703703706,0.4728073798705769,0.13356588945596332,0.014403581619262695
UCR_Phoneme,BURST_GEN_KMeans_SNK,5.2060483474756886e-05,0.025803054239073198,0.500236106741333,0.004971527246695004,0.13301777839660645
UCR_Coffee,BURST_GEN_KMeans_SNK,0.16221857314386387,0.9215686274509803,0.5866666666666667,0.38364995231318494,0.05202484130859375
UCR_Computers,BURST_GEN_KMeans_SNK,-0.003644940954653074,0.5555555555555556,0.5011135857461024,0.0007229190450882326,0.18601655960083008
UCR_Plane,BURST_GEN_KMeans_SNK,0.32811118920639315,0.2962962962962963,0.7224473713835416,0.6012292134351397,0.05276155471801758
UCR_GunPointMaleVersusFemale,BURST_GEN_KMeans_SNK,0.07441352701135483,0.7167487684729064,0.5371282612661923,0.16797370360650132,0.0174868106842041
UCR_BirdChicken,BURST_GEN_KMeans_SNK,0.15632160496970315,0.8611111111111112,0.5825396825396826,0.27206421667258823,0.012613534927368164
UCR_Wine,BURST_GEN_KMeans_SNK,0.013144827038264776,0.67,0.5072727272727273,0.13538572014666517,0.013311624526977539
UCR_ElectricDevices,BURST_GEN_KMeans_SNK,0.00491017795689154,0.26298918124749565,0.3157389993587228,0.07941039733288224,0.9149074554443359
UCR_FaceFour,BURST_GEN_KMeans_SNK,0.24932377367016292,0.5742574257425742,0.6716831683168317,0.3652540218165201,0.01433253288269043
UCR_WordSynonyms,BURST_GEN_KMeans_SNK,0.03985943272455973,0.2196319018404908,0.5009149696266261,0.08304002129328503,0.1656186580657959
UCR_HouseTwenty,BURST_GEN_KMeans_SNK,0.19189967693616425,0.7222222222222222,0.5959595959595959,0.14725173165389274,0.02018427848815918
UCR_BeetleFly,BURST_GEN_KMeans_SNK,0.1807459677419355,0.75,0.5904761904761905,0.20974450557593502,0.013762712478637695
UCR_SemgHandGenderCh2,BURST_GEN_KMeans_SNK,0.11002405538605961,0.6666666666666666,0.5550061804697157,0.08275822914396862,0.20218300819396973
UCR_Lightning7,BURST_GEN_KMeans_SNK,0.07886510699206298,0.17829457364341086,0.5099321705426356,0.15413212376381277,0.032004356384277344
UCR_GunPointAgeSpan,BURST_GEN_KMeans_SNK,0.11473754373803695,0.7142857142857143,0.5560907376999331,0.20211648713149483,0.01670527458190918
UCR_Car,BURST_GEN_KMeans_SNK,0.10597204053933401,0.5277777777777778,0.6730702665282104,0.21144093269686481,0.014209270477294922
UCR_GunPointOldVersusYoung,BURST_GEN_KMeans_SNK,0.14075574303665178,0.7487684729064039,0.5690202517788725,0.2495779246241908,0.015909433364868164
UCR_WormsTwoClass,BURST_GEN_KMeans_SNK,-0.010839716827540207,0.6394849785407726,0.4994080213112328,0.002085882085474876,0.02262592315673828
UCR_BME,BURST_GEN_KMeans_SNK,0.16720395206226812,0.5740740740740741,0.5889118932597194,0.2474160524045405,0.015716552734375
UCR_InsectEPGRegularTrain,BURST_GEN_KMeans_SNK,0.027450935064458098,0.5214285714285715,0.5213005632360471,0.07242779443380105,0.022240161895751953
UCR_UMD,BURST_GEN_KMeans_SNK,0.14892699486263547,0.6172839506172839,0.5932060424814048,0.24676825009059578,0.01594066619873047
UCR_Ham,BURST_GEN_KMeans_SNK,0.08520556264661068,0.6632124352331606,0.5473877374784111,0.12791122797733512,0.016436100006103516
UCR_ShapesAll,BURST_GEN_KMeans_SNK,0.017912932045136453,0.012962962962962963,0.49896680740054233,0.1592797156588807,0.17902064323425293
UCR_FiftyWords,BURST_GEN_KMeans_SNK,0.04112542292005035,0.150920245398773,0.4906648980268612,0.15336753573164583,0.1607058048248291
UCR_PLAID,BURST_GEN_KMeans_SNK,0.06368447653507248,0.10444674250258532,0.5275477935430276,0.10971393410884211,0.2604691982269287
UCR_CricketY,BURST_GEN_KMeans_SNK,0.05585873012286782,0.10968660968660969,0.525208188546277,0.1380302838075377,0.18889784812927246
UCR_Symbols,BURST_GEN_KMeans_SNK,0.3368210305978738,0.4095860566448802,0.717440835536929,0.5413111409328469,0.262758731842041
UCR_ProximalPhalanxTW,BURST_GEN_KMeans_SNK,0.5584197776844135,0.3192660550458716,0.7772328656233135,0.6186463312895457,0.03299283981323242
UCR_Fungi,BURST_GEN_KMeans_SNK,0.22252242549265383,0.28804347826086957,0.7758374910905204,0.62103336056113,0.013568401336669922
UCR_CricketX,BURST_GEN_KMeans_SNK,0.017204461586003524,0.13675213675213677,0.5090245518205575,0.04307095502651498,0.08058595657348633
UCR_Earthquakes,BURST_GEN_KMeans_SNK,-0.043833649367624586,0.8,0.5599790466212676,0.0073884558386582535,0.08116483688354492
UCR_GesturePebbleZ1,BURST_GEN_KMeans_SNK,0.19816387491318735,0.16058394160583941,0.5549316863185476,0.41357123064694506,0.04755139350891113
UCR_DodgerLoopWeekend,BURST_GEN_KMeans_SNK,0.942911253199389,0.986013986013986,0.9722249581404511,0.8964149753852991,0.014370203018188477
UCR_EthanolLevel,BURST_GEN_KMeans_SNK,0.0010948243653730375,0.26548672566371684,0.49463685453601075,0.002575499962269933,0.1085209846496582
UCR_ECG5000,BURST_GEN_KMeans_SNK,0.8064484439361433,0.9153333333333333,0.9033446444888987,0.6401722035319111,0.23658013343811035
UCR_UWaveGestureLibraryY,BURST_GEN_KMeans_SNK,0.12708401605586142,0.126023319275614,0.5594860673453195,0.23093234466272905,0.31145167350769043
UCR_FacesUCR,BURST_GEN_KMeans_SNK,0.032377240285569986,0.10024691358024691,0.5149026496852583,0.07053610258153625,0.21657919883728027
UCR_Herring,BURST_GEN_KMeans_SNK,-0.0012573751879341615,0.5948275862068966,0.49940029985007495,0.008662135025239338,0.0424199104309082
UCR_Mallat,BURST_GEN_KMeans_SNK,0.3084826618789558,0.33425925925925926,0.7182985092549706,0.54889525401603,0.12032032012939453
UCR_OSULeaf,BURST_GEN_KMeans_SNK,0.030160457365674666,0.23366834170854273,0.5155880156449755,0.05130357481836937,0.14607524871826172
UCR_InlineSkate,BURST_GEN_KMeans_SNK,0.0010817888011968903,0.15213675213675212,0.37868516567146704,0.01892039168004894,0.2470099925994873
UCR_MixedShapesSmallTrain,BURST_GEN_KMeans_SNK,0.24579605886111303,0.46326440827100746,0.6741315690004523,0.3022402522819567,0.2709338665008545
UCR_Fish,BURST_GEN_KMeans_SNK,0.04621943021002992,0.19365079365079366,0.4492771206147002,0.09885936532768663,0.021394968032836914
UCR_MoteStrain,BURST_GEN_KMeans_SNK,0.3915678960373643,0.8131004366812227,0.6957980883745076,0.3026372652812983,0.06692028045654297
UCR_ProximalPhalanxOutlineCorrect,BURST_GEN_KMeans_SNK,0.024687760459152764,0.7032418952618454,0.4874393292673435,0.04736214844321684,0.06638526916503906
UCR_PhalangesOutlinesCorrect,BURST_GEN_KMeans_SNK,-0.00529098759774969,0.6531550355202674,0.5006670095470764,0.01726157794228147,0.1324448585510254
